date,event_name,type,impact,affected_area
2023-01-01,New Year's Day,National Holiday,Medium,All
2023-01-02,Day off for New Year's Day,National Holiday,Medium,All
2023-01-14,National Children's Day,National Holiday,Medium,All
2023-01-16,Teachers' Day,National Holiday,Medium,All
2023-01-22,Chinese New Year's Day,National Holiday,Medium,All
2023-01-23,Second Day of Chinese New Year,National Holiday,Medium,All
2023-01-24,Third Day of Chinese New Year,National Holiday,Medium,All
2023-02-14,Valentine's Day,National Holiday,Medium,All
2023-03-06,Makha Bucha,National Holiday,Medium,All
2023-03-20,March Equinox,National Holiday,Medium,All
2023-04-06,Chakri Day,National Holiday,Medium,All
2023-04-13,Songkran Festival (Water Fight),Local Festival,High,All
2023-04-13,Songkran,National Holiday,Medium,All
2023-04-14,Songkran Festival (Water Fight),Local Festival,High,All
2023-04-14,Songkran Holiday,National Holiday,Medium,All
2023-04-15,Songkran Festival (Water Fight),Local Festival,High,All
2023-05-01,Labor Day,National Holiday,Medium,All
2023-05-04,Coronation Day,National Holiday,Medium,All
2023-05-05,Bridge Public Holiday,National Holiday,Medium,All
2023-05-17,Royal Ploughing Ceremony Day,National Holiday,Medium,All
2023-06-03,Visakha Bucha,National Holiday,Medium,All
2023-06-03,Queen Suthida's Birthday,National Holiday,Medium,All
2023-06-05,Day off for Visakha Bucha,National Holiday,Medium,All
2023-06-05,Day off for Queen Suthida's Birthday,National Holiday,Medium,All
2023-06-21,June Solstice,National Holiday,Medium,All
2023-07-28,King Vajiralongkorn's Birthday,National Holiday,Medium,All
2023-07-31,Bridge Public Holiday,National Holiday,Medium,All
2023-08-01,Asalha Bucha,National Holiday,Medium,All
2023-08-12,The Queen's Birthday,National Holiday,Medium,All
2023-08-14,Day off for The Queen's Birthday,National Holiday,Medium,All
2023-09-23,September Equinox,National Holiday,Medium,All
2023-10-13,Anniversary of the Death of King Bhumibol,National Holiday,Medium,All
2023-10-15,Phuket Vegetarian Festival (Start),Local Festival,High,Phuket Town
2023-10-23,Chulalongkorn Day,National Holiday,Medium,All
2023-10-23,Phuket Vegetarian Festival (End),Local Festival,High,Phuket Town
2023-10-31,Halloween,National Holiday,Medium,All
2023-11-27,Loy Krathong,Cultural,Medium,Near Water/Piers
2023-12-05,King Bhumibol's Birthday/Father's Day,National Holiday,Medium,All
2023-12-10,Constitution Day,National Holiday,Medium,All
2023-12-11,Substitute Holiday for Constitution Day,National Holiday,Medium,All
2023-12-22,December Solstice,National Holiday,Medium,All
2023-12-24,Christmas Eve,National Holiday,Medium,All
2023-12-25,Christmas Day,National Holiday,Medium,All
2023-12-29,New Year Special Holiday,National Holiday,Medium,All
2023-12-31,New Year's Eve,National Holiday,Medium,All
2023-12-31,New Year Eve (Countdown),Global Event,High,Patong_Beach
2024-01-01,New Year's Day,National Holiday,Medium,All
2024-01-13,National Children's Day,National Holiday,Medium,All
2024-01-16,Teachers' Day,National Holiday,Medium,All
2024-02-10,Chinese New Year's Day,National Holiday,Medium,All
2024-02-11,Second Day of Chinese New Year,National Holiday,Medium,All
2024-02-12,Third Day of Chinese New Year,National Holiday,Medium,All
2024-02-14,Valentine's Day,National Holiday,Medium,All
2024-02-15,Old Town Festival,Local Festival,Medium,Phuket Town
2024-02-16,Old Town Festival,Local Festival,Medium,Phuket Town
2024-02-24,Makha Bucha,National Holiday,Medium,All
2024-02-26,Day off for Makha Bucha,National Holiday,Medium,All
2024-03-20,March Equinox,National Holiday,Medium,All
2024-04-06,Chakri Day,National Holiday,Medium,All
2024-04-08,Day off for Chakri Day,National Holiday,Medium,All
2024-04-12,Songkran Holiday,National Holiday,Medium,All
2024-04-13,Songkran,National Holiday,Medium,All
2024-04-13,Songkran Festival (Water Fight),Local Festival,High,All
2024-04-14,Songkran Festival (Water Fight),Local Festival,High,All
2024-04-14,Songkran Holiday,National Holiday,Medium,All
2024-04-15,Songkran Holiday,National Holiday,Medium,All
2024-04-15,Songkran Festival (Water Fight),Local Festival,High,All
2024-04-16,Songkran Observed,National Holiday,Medium,All
