date,day_of_week,season,month,is_weekend,route,operator,vessel_type,departure_time,duration_min,status,est_passengers,est_road_vehicles_generated,corridor_impact,pier,pier_lat,pier_lon,departure_hour,timestamp
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,108,36,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-01 08:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,100,33,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-01 10:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,121,40,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-01 11:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,107,35,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-01 13:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,118,39,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-01 14:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,09:00,60,Operating,102,34,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-01 09:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Bundhaya Speed Boat,Speedboat,12:00,60,Operating,116,38,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,12,2022-01-01 12:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,08:30,120,Operating,227,75,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-01 08:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Chaokoh Ferry,Ferry,13:30,120,Operating,228,76,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-01 13:00:00
2022-01-01,Saturday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,09:00,60,Operating,100,33,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,9,2022-01-01 09:00:00
2022-01-01,Saturday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Speedboat,11:00,60,Operating,119,39,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,11,2022-01-01 11:00:00
2022-01-01,Saturday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,14:00,120,Operating,234,78,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,14,2022-01-01 14:00:00
2022-01-01,Saturday,High,1,1,Koh_Phi_Phi_Tonsai → Phuket_Rassada,Mixed operators,Ferry,15:30,120,Operating,178,59,Rassada Pier → Phuket Town,Rassada_Pier,7.8791,98.4051,15,2022-01-01 15:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Bundhaya Speed Boat,Speedboat,08:00,150,Operating,94,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-01 08:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Andaman Wave Master,Speedboat,11:00,150,Operating,95,31,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-01 11:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Koh_Lanta_Saladan,Chaokoh Ferry,Ferry,14:00,360,Operating,197,65,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-01 14:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Krabi_Ao_Nang,Phi Phi Cruiser,Speedboat,09:00,120,Operating,71,23,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,9,2022-01-01 09:00:00
2022-01-01,Saturday,High,1,1,Phuket_Rassada → Krabi_Ao_Nang,Andaman Wave Master,Ferry,13:00,150,Operating,133,44,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-01 13:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,08:30,60,Operating,113,37,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,8,2022-01-02 08:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,10:00,60,Operating,99,33,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,10,2022-01-02 10:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,11:30,60,Operating,141,47,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,11,2022-01-02 11:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,13:00,60,Operating,123,41,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,13,2022-01-02 13:00:00
2022-01-02,Sunday,High,1,1,Phuket_Rassada → Koh_Phi_Phi_Tonsai,Andaman Wave Master,Speedboat,14:30,60,Operating,105,35,Phuket Town → Rassada Pier,Rassada_Pier,7.8791,98.4051,14,2022-01-02 14:00:00
