year,month,month_name,date,season,intl_arrivals_flights,intl_departures_flights,intl_total_flights,dom_arrivals_flights,dom_departures_flights,dom_total_flights,total_flights,intl_passengers,dom_passengers,total_passengers,data_quality,source
2022,1,January,2022-01-01,High,745,766,1511,1263,1247,2510,4021,170104,245804,415908,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,2,February,2022-02-01,High,641,668,1309,1121,1094,2215,3524,143674,223701,367375,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,3,March,2022-03-01,High,673,694,1367,1364,1342,2706,4073,158985,318276,477261,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,4,April,2022-04-01,High,781,774,1555,1564,1567,3131,4686,170892,411731,582623,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,5,May,2022-05-01,Low,750,753,1503,1483,1483,2966,4469,180072,409165,589237,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,6,June,2022-06-01,Low,780,783,1563,1445,1443,2888,4451,223808,361379,585187,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,7,July,2022-07-01,Low,836,837,1673,1529,1527,3056,4729,253142,419344,672486,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,8,August,2022-08-01,Low,838,839,1677,1557,1558,3115,4792,251051,417996,669047,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,9,September,2022-09-01,Low,765,764,1529,1467,1467,2934,4463,223667,368291,591958,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,10,October,2022-10-01,Low,1001,1002,2003,1673,1673,3346,5349,309200,482433,791633,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,11,November,2022-11-01,High,1282,1281,2563,1682,1682,3364,5927,452157,473761,925918,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2022,12,December,2022-12-01,High,1593,1590,3183,1905,1897,3802,6985,618512,527803,1146315,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2022"
2023,1,January,2023-01-01,High,1784,1798,3582,1924,1931,3855,7437,698683,559990,1258673,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,2,February,2023-02-01,High,1750,1753,3503,1805,1805,3610,7113,705324,505814,1211138,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,3,March,2023-03-01,High,1970,1968,3938,2113,2110,4223,8161,768249,564642,1332891,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,4,April,2023-04-01,High,1815,1813,3628,2048,2046,4094,7722,634204,551377,1185581,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,5,May,2023-05-01,Low,1633,1632,3265,1913,1913,3826,7091,483703,507069,990772,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,6,June,2023-06-01,Low,1530,1529,3059,1805,1805,3610,6669,483211,470590,953801,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,7,July,2023-07-01,Low,1833,1837,3670,1982,1980,3962,7632,629344,529409,1158753,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,8,August,2023-08-01,Low,1801,1801,3602,1925,1925,3850,7452,636450,527113,1163563,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,9,September,2023-09-01,Low,1555,1556,3111,1714,1713,3427,6538,480073,414694,894767,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,10,October,2023-10-01,Low,1725,1727,3452,1886,1888,3774,7226,580712,517381,1098093,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,11,November,2023-11-01,High,1917,1919,3836,2116,2117,4233,8069,730159,538809,1268968,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2023,12,December,2023-12-01,High,2291,2287,4578,2430,2427,4857,9435,886746,575438,1462184,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2023"
2024,1,January,2024-01-01,High,2568,2576,5144,2535,2535,5070,10214,698683,490000,1188683,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,2,February,2024-02-01,High,2542,2544,5086,2404,2404,4808,9894,705324,460000,1165324,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,3,March,2024-03-01,High,2493,2494,4987,2507,2506,5013,10000,768249,515000,1283249,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,4,April,2024-04-01,High,2226,2230,4456,2274,2274,4548,9004,634204,458000,1092204,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,5,May,2024-05-01,Low,2158,2161,4319,2200,2201,4401,8720,483703,435000,918703,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,6,June,2024-06-01,Low,2098,2095,4193,2068,2068,4136,8329,483211,406000,889211,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,7,July,2024-07-01,Low,2313,2317,4630,2399,2399,4798,9428,629344,475000,1104344,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,8,August,2024-08-01,Low,2301,2304,4605,2372,2370,4742,9347,636450,465000,1101450,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,9,September,2024-09-01,Low,2045,2047,4092,2095,2095,4190,8282,480073,410000,890073,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,10,October,2024-10-01,Low,2216,2208,4424,2286,2286,4572,8996,580712,455000,1035712,official_AOT,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,11,November,2024-11-01,High,2604,2607,5211,2625,2625,5250,10461,730159,510000,1240159,official_AOT_dom_estimated,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
2024,12,December,2024-12-01,High,3081,3078,6159,3069,3069,6138,12297,886746,590000,1476746,official_AOT_dom_estimated,"Airports of Thailand PCL, Annual Air Transport Statistics 2024"
