name,category,latitude,longitude,type
La Moon,Tourism/Hotel,7.8855956,98.3936121,node
Bel Aire,Tourism/Hotel,7.8966531,98.3010989,node
Ken's Inn,Tourism/Hotel,7.9020587,98.3005619,node
Family 2 Mansion,Tourism/Hotel,7.8969222,98.2997863,node
Kata Palm Resort & Spa,Tourism/Hotel,7.8189845,98.3010045,node
The Lighthouse,Tourism/Hotel,7.8230107,98.3451454,node
Super Cheap,Shopping,7.8156947,98.3388061,node
Big A,Tourism/Hotel,7.8164128,98.3344937,node
Expat,Tourism/Hotel,7.893222,98.2999093,node
Mei Zhou Hotel,Tourism/Hotel,7.8866099,98.3942795,node
Palm View Resort,Tourism/Hotel,7.8869765,98.3027028,node
Evason Phuket,Tourism/Hotel,7.7800388,98.3356882,node
Naithonburi Beach Resort,Tourism/Hotel,8.0608399,98.2792075,node
Naithon Beach Mansion,Tourism/Hotel,8.0629239,98.2782004,node
Phuket Naithon Resort,Tourism/Hotel,8.0593733,98.2780845,node
Naithon Seaview Hotel,Tourism/Hotel,8.0604275,98.2778808,node
Naithon Mart,Shopping,8.060328,98.2778937,node
Pearl of Naithon,Tourism/Hotel,8.0615206,98.278344,node
Naithon Beach Resort,Tourism/Hotel,8.0574717,98.2783475,node
The Angel of Naithon,Tourism/Hotel,8.05897,98.2781541,node
Naithon Mart,Shopping,8.0588781,98.2781696,node
Andaman White Beach Resort,Tourism/Hotel,8.0472189,98.2781612,node
Ban Naithon School,Education,8.0559937,98.278613,node
Naithon Beach Villa,Tourism/Hotel,8.0568463,98.2784222,node
Horizon,Tourism/Hotel,7.8888721,98.2933527,node
Royal Palm Beach,Tourism/Hotel,7.8903798,98.2936072,node
Tanamas House,Tourism/Hotel,8.091852,98.3063704,node
Thantip Villa Hotel,Tourism/Hotel,7.9018692,98.2990958,node
Phuket Graceland,Tourism/Hotel,7.9030135,98.2978942,node
Nai Yang Beach Resort,Tourism/Hotel,8.0880863,98.2980209,node
Wonglee House,Tourism/Hotel,8.0893219,98.3039569,node
Watmongkol Wararam School,Education,8.0926819,98.3015466,node
Wat Mongkonwaram School,Education,8.0923347,98.3051099,node
Sinthavee Hotel,Tourism/Hotel,7.8835776,98.3898455,node
Pgs,Tourism/Hotel,7.8989298,98.3017215,node
Thai Classic House,Tourism/Hotel,7.8988182,98.3019683,node
Sudarat,Tourism/Hotel,7.8870106,98.3024693,node
Absolute Nakalay Boutique Resort,Tourism/Hotel,7.9255419,98.2746923,node
Baan Taweesup,Tourism/Hotel,7.8977885,98.3016314,node
Tropica Boungalow,Tourism/Hotel,7.8934815,98.2956564,node
Patong Inn,Tourism/Hotel,7.8933425,98.2950984,node
Break Point,Tourism/Hotel,7.8918635,98.2951025,node
Big C,Shopping,7.8897076,98.3004002,node
Makro cash & carry,Shopping,7.8944037,98.3639054,node
Big C,Shopping,7.8957902,98.3669319,node
The Royal Palm,Tourism/Hotel,7.8895005,98.2930785,node
Baan Laimai,Tourism/Hotel,7.8897858,98.2931475,node
Andaman Beach Suites,Tourism/Hotel,7.9010123,98.2992998,node
