week_start,keyword,interest_score,data_group,year,month,week_of_year,season
2021-12-26,Phuket,41,general_tourism,2021,12,51,High
2022-01-02,Phuket,45,general_tourism,2022,1,52,High
2022-01-09,Phuket,40,general_tourism,2022,1,1,High
2022-01-16,Phuket,36,general_tourism,2022,1,2,High
2022-01-23,Phuket,35,general_tourism,2022,1,3,High
2022-01-30,Phuket,37,general_tourism,2022,1,4,High
2022-02-06,Phuket,37,general_tourism,2022,2,5,High
2022-02-13,Phuket,39,general_tourism,2022,2,6,High
2022-02-20,Phuket,36,general_tourism,2022,2,7,High
2022-02-27,Phuket,37,general_tourism,2022,2,8,High
2022-03-06,Phuket,38,general_tourism,2022,3,9,High
2022-03-13,Phuket,40,general_tourism,2022,3,10,High
2022-03-20,Phuket,39,general_tourism,2022,3,11,High
2022-03-27,Phuket,39,general_tourism,2022,3,12,High
2022-04-03,Phuket,41,general_tourism,2022,4,13,High
2022-04-10,Phuket,45,general_tourism,2022,4,14,High
2022-04-17,Phuket,41,general_tourism,2022,4,15,High
2022-04-24,Phuket,43,general_tourism,2022,4,16,High
2022-05-01,Phuket,46,general_tourism,2022,5,17,Low
2022-05-08,Phuket,45,general_tourism,2022,5,18,Low
2022-05-15,Phuket,43,general_tourism,2022,5,19,Low
2022-05-22,Phuket,44,general_tourism,2022,5,20,Low
2022-05-29,Phuket,45,general_tourism,2022,5,21,Low
2022-06-05,Phuket,46,general_tourism,2022,6,22,Low
2022-06-12,Phuket,43,general_tourism,2022,6,23,Low
2022-06-19,Phuket,46,general_tourism,2022,6,24,Low
2022-06-26,Phuket,45,general_tourism,2022,6,25,Low
2022-07-03,Phuket,48,general_tourism,2022,7,26,Low
2022-07-10,Phuket,48,general_tourism,2022,7,27,Low
2022-07-17,Phuket,46,general_tourism,2022,7,28,Low
2022-07-24,Phuket,47,general_tourism,2022,7,29,Low
2022-07-31,Phuket,50,general_tourism,2022,7,30,Low
2022-08-07,Phuket,53,general_tourism,2022,8,31,Low
2022-08-14,Phuket,55,general_tourism,2022,8,32,Low
2022-08-21,Phuket,48,general_tourism,2022,8,33,Low
2022-08-28,Phuket,48,general_tourism,2022,8,34,Low
2022-09-04,Phuket,48,general_tourism,2022,9,35,Low
2022-09-11,Phuket,48,general_tourism,2022,9,36,Low
2022-09-18,Phuket,49,general_tourism,2022,9,37,Low
2022-09-25,Phuket,47,general_tourism,2022,9,38,Low
2022-10-02,Phuket,51,general_tourism,2022,10,39,Low
2022-10-09,Phuket,51,general_tourism,2022,10,40,Low
2022-10-16,Phuket,58,general_tourism,2022,10,41,Low
2022-10-23,Phuket,54,general_tourism,2022,10,42,Low
2022-10-30,Phuket,58,general_tourism,2022,10,43,Low
2022-11-06,Phuket,59,general_tourism,2022,11,44,High
2022-11-13,Phuket,63,general_tourism,2022,11,45,High
2022-11-20,Phuket,58,general_tourism,2022,11,46,High
2022-11-27,Phuket,57,general_tourism,2022,11,47,High
2022-12-04,Phuket,56,general_tourism,2022,12,48,High
2022-12-11,Phuket,61,general_tourism,2022,12,49,High
