date,event_name,type,impact,location,start_time,end_time
2023-01-01,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-01-01,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-07,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-01-07,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-08,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-01-08,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-14,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-01-14,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-15,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-01-15,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-21,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-01-21,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-22,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-01-22,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-28,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-01-28,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-01-29,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-01-29,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-04,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-02-04,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-05,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-02-05,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-11,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-02-11,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-12,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-02-12,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-18,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-02-18,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-19,Sunday Walking Street (Lard Yai),Night Market,High,Phuket Town,16:00,22:00
2023-02-19,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
2023-02-25,Chillva Market Peak,Night Market,Medium,Phuket Town,18:00,23:00
2023-02-25,Naka Weekend Market,Night Market,High,Phuket Town (West),16:00,23:00
