corr_id,source_month,target_month,true,pred_lv,pred_ha,pred_sn,pred_xgb
0,7,8,1.29,1.29,1.11,1.11,1.2813727
0,8,9,1.58,1.29,1.31,1.31,1.2573996
0,9,10,1.24,1.58,1.18,1.18,1.2784799
0,10,11,1.33,1.24,1.31,1.31,1.239962
0,11,12,1.3,1.33,1.28,1.28,1.2508413
1,7,8,1.21,1.23,1.24,1.24,1.2284069
1,8,9,1.2,1.21,1.25,1.25,1.1771435
1,9,10,1.07,1.2,1.14,1.14,1.1947824
1,10,11,1.35,1.07,1.32,1.32,1.2692553
1,11,12,1.23,1.35,1.18,1.18,1.2965227
2,7,8,1.84,1.69,1.69,1.69,1.6662592
2,8,9,1.76,1.84,1.68,1.68,1.6316587
2,9,10,1.63,1.76,1.33,1.33,1.5570589
2,10,11,1.78,1.63,1.76,1.76,1.7337873
2,11,12,1.64,1.78,1.79,1.79,1.6980036
3,7,8,1.67,1.62,1.61,1.61,1.5449322
3,8,9,1.67,1.67,1.72,1.72,1.5262313
3,9,10,1.25,1.67,1.23,1.23,1.5303756
3,10,11,1.59,1.25,1.68,1.68,1.564992
3,11,12,1.47,1.59,1.54,1.54,1.5873643
