label,MAE,RMSE,MAPE,n,baseline,split,target
LV|val|tt_ratio_Weekday_AM1,0.1091666666666667,0.1553222456700907,7.928607589821208,24,LV,val,tt_ratio_Weekday_AM1
LV|val|tt_ratio_Weekday_PM1,0.08874999999999995,0.10643855817638015,5.632816447584601,24,LV,val,tt_ratio_Weekday_PM1
LV|val|tt_ratio_Weekday_Midday,0.05499999999999997,0.07274384280931727,3.908321685406128,24,LV,val,tt_ratio_Weekday_Midday
LV|val|tt_ratio_Weekend_AM1,0.06333333333333331,0.07675719293112966,5.379390391896027,24,LV,val,tt_ratio_Weekend_AM1
LV|val|pti_mean,0.12212500000000003,0.15238697997751205,4.243968127385417,24,LV,val,pti_mean
LV|val|pti_max,0.37041666666666667,0.47427576366498003,10.12822417002316,24,LV,val,pti_max
LV|test|tt_ratio_Weekday_AM1,0.0879166666666667,0.1181982797393149,6.070305353300323,24,LV,test,tt_ratio_Weekday_AM1
LV|test|tt_ratio_Weekday_PM1,0.055833333333333346,0.07724420150837646,3.4839472456664056,24,LV,test,tt_ratio_Weekday_PM1
LV|test|tt_ratio_Weekday_Midday,0.06708333333333334,0.08136850332489429,4.598827352302092,24,LV,test,tt_ratio_Weekday_Midday
LV|test|tt_ratio_Weekend_AM1,0.05249999999999997,0.06435578192102606,4.5531930847243105,24,LV,test,tt_ratio_Weekend_AM1
LV|test|pti_mean,0.10120833333333334,0.13541617948630313,3.511187626262513,24,LV,test,pti_mean
LV|test|pti_max,0.3070833333333334,0.38772305408199126,8.10060637567424,24,LV,test,pti_max
HA|val|tt_ratio_Weekday_AM1,0.09000000000000001,0.10692676621563628,6.383110154940905,12,HA,val,tt_ratio_Weekday_AM1
HA|val|tt_ratio_Weekday_PM1,0.08333333333333333,0.0950438495292217,5.461376207939774,12,HA,val,tt_ratio_Weekday_PM1
HA|val|tt_ratio_Weekday_Midday,0.10083333333333333,0.11884864324004714,7.17086683771011,12,HA,val,tt_ratio_Weekday_Midday
HA|val|tt_ratio_Weekend_AM1,0.05583333333333331,0.08470537173048706,4.641072033312029,12,HA,val,tt_ratio_Weekend_AM1
HA|val|pti_mean,0.24433333333333332,0.31488145917683574,7.8504138969193935,12,HA,val,pti_mean
HA|val|pti_max,0.28583333333333333,0.3436204301260331,6.975904654550193,12,HA,val,pti_max
HA|test|tt_ratio_Weekday_AM1,0.08458333333333333,0.11256479615462966,5.648952098940444,24,HA,test,tt_ratio_Weekday_AM1
HA|test|tt_ratio_Weekday_PM1,0.07624999999999997,0.0929381514772055,4.758518218196686,24,HA,test,tt_ratio_Weekday_PM1
HA|test|tt_ratio_Weekday_Midday,0.09583333333333334,0.12469963913339926,6.511094561764404,24,HA,test,tt_ratio_Weekday_Midday
HA|test|tt_ratio_Weekend_AM1,0.06208333333333333,0.09039266194406122,5.021232725072386,24,HA,test,tt_ratio_Weekend_AM1
HA|test|pti_mean,0.19125000000000003,0.26469573727835766,6.0065684857735695,24,HA,test,pti_mean
HA|test|pti_max,0.36624999999999996,0.46525530625668304,9.07298296103949,24,HA,test,pti_max
SN|val|tt_ratio_Weekday_AM1,0.09375000000000004,0.11631494601583525,6.61504360320575,24,SN,val,tt_ratio_Weekday_AM1
SN|val|tt_ratio_Weekday_PM1,0.10041666666666664,0.12105439548676726,6.3489358993958795,24,SN,val,tt_ratio_Weekday_PM1
SN|val|tt_ratio_Weekday_Midday,0.09166666666666667,0.11853269591129699,6.392034100334569,24,SN,val,tt_ratio_Weekday_Midday
SN|val|tt_ratio_Weekend_AM1,0.06749999999999998,0.10404326023342407,5.509044575365804,24,SN,val,tt_ratio_Weekend_AM1
SN|val|pti_mean,0.24679166666666671,0.3249589076585941,7.823828053518644,24,SN,val,pti_mean
SN|val|pti_max,0.30125,0.3751832885404146,7.245895654202604,24,SN,val,pti_max
SN|test|tt_ratio_Weekday_AM1,0.08458333333333333,0.11256479615462966,5.648952098940444,24,SN,test,tt_ratio_Weekday_AM1
SN|test|tt_ratio_Weekday_PM1,0.07624999999999997,0.0929381514772055,4.758518218196686,24,SN,test,tt_ratio_Weekday_PM1
SN|test|tt_ratio_Weekday_Midday,0.09583333333333334,0.12469963913339926,6.511094561764404,24,SN,test,tt_ratio_Weekday_Midday
SN|test|tt_ratio_Weekend_AM1,0.06208333333333333,0.09039266194406122,5.021232725072386,24,SN,test,tt_ratio_Weekend_AM1
SN|test|pti_mean,0.19125000000000003,0.26469573727835766,6.0065684857735695,24,SN,test,pti_mean
SN|test|pti_max,0.36624999999999996,0.46525530625668304,9.07298296103949,24,SN,test,pti_max
XGB|val|tt_ratio_Weekday_AM1,0.039172930717468274,0.057412424809781946,2.729957808439756,24,XGB,val,tt_ratio_Weekday_AM1
XGB|test|tt_ratio_Weekday_AM1,0.04631153265635174,0.07535809685123651,3.1377622964183844,24,XGB,test,tt_ratio_Weekday_AM1
XGB|val|tt_ratio_Weekday_PM1,0.047421583135922714,0.05737709940933636,2.9761834046742695,24,XGB,val,tt_ratio_Weekday_PM1
XGB|test|tt_ratio_Weekday_PM1,0.06074458638827005,0.07644790347005022,3.772764878949695,24,XGB,test,tt_ratio_Weekday_PM1
XGB|val|tt_ratio_Weekday_Midday,0.033592693209648104,0.046129820389477376,2.268999675780406,24,XGB,val,tt_ratio_Weekday_Midday
XGB|test|tt_ratio_Weekday_Midday,0.06852594196796417,0.08923789645055022,4.494839396823401,24,XGB,test,tt_ratio_Weekday_Midday
XGB|val|tt_ratio_Weekend_AM1,0.03433919320503869,0.058358335671863604,2.832221089729739,24,XGB,val,tt_ratio_Weekend_AM1
XGB|test|tt_ratio_Weekend_AM1,0.04168837328751882,0.060857784093517005,3.2079885687660306,24,XGB,test,tt_ratio_Weekend_AM1
XGB|val|pti_mean,0.08109199706713353,0.11210720637398222,2.6028299491128877,24,XGB,val,pti_mean
XGB|test|pti_mean,0.09763225261370341,0.14175983565318356,2.91653770414944,24,XGB,test,pti_mean
XGB|val|pti_max,0.13170767108599346,0.17507506388692748,3.2714802430218937,24,XGB,val,pti_max
XGB|test|pti_max,0.17289152979850772,0.23497813817617824,4.286505010942007,24,XGB,test,pti_max
