feature,shap_mean_abs
pti_Weekday_AM1,0.14817037
tt_ratio_Weekday_PrePM,0.02712672
spd_Weekday_AM1,0.023954539
tt_ratio_Weekday_AM2,0.015367516
pti_Weekday_AM2,0.014094885
pti_Weekday_PrePM,0.003876106
tt_ratio_Weekend_Night,0.0038628022
tt_ratio_Weekday_Early,0.0035670188
soc_phuket_l2,0.0031074926
pti_Weekend_Evening,0.0020152552
spd_Weekday_Early,0.001987852
tt_ratio_Weekend_AM2,0.0019791445
spd_Weekday_AM2,0.0016135407
pti_Weekday_PM2,0.0015510035
tt_ratio_Weekend_Midday,0.0014168597
pti_Weekend_AM2,0.0012667602
tt_ratio_Weekday_Afternoon,0.0009942428
pti_Weekday_Evening,0.000992529
pti_Weekend_Night,0.0009792037
spd_Weekday_Night,0.0009554959
pti_Weekday_Night,0.0007036021
wx_rain_mm_sum_l1,0.0006853948
spd_Weekday_Evening,0.0006455711
month_cos,0.0006030642
wx_rain_mm_sum,0.0005538732
tt_ratio_Weekend_PrePM,0.00055136374
cal_n_events,0.00051471574
tt_ratio_Weekend_PM1,0.00049218134
spd_Weekday_Afternoon,0.00046648702
pti_Weekend_LateNight,0.00045823658
spd_Weekend_Early,0.0004046197
pti_Weekend_Early,0.00039499326
spd_Weekday_PrePM,0.00037501217
corr_id,0.00037184288
flt_total_pax_l1,0.00036583262
spd_Weekday_Midday,0.00034548144
cal_n_holidays,0.00030045302
tt_ratio_Weekend_Evening,0.00029239216
cal_n_holidays_l2,0.00026547775
flt_total_pax_l2,0.00026309848
pti_Weekday_Morning,0.00025038188
pti_Weekend_Afternoon,0.00023259349
tt_ratio_Weekend_PM2,0.00021941472
spd_Weekend_Night,0.00020517071
spd_Weekend_Morning,0.00019404973
tt_ratio_Weekday_LateNight,0.00018576057
pti_Weekend_Midday,0.00018079633
corr_tourist_access,0.00016596979
spd_Weekend_AM2,0.00015604234
flt_total_pax_l3,0.00015253822
pti_Weekday_LateNight,0.00014638035
flt_total_pax,0.00013823847
tt_ratio_Weekend_LateNight,0.00012989392
cal_n_holidays_l3,0.00012582842
pti_Weekday_Early,0.00011802279
pti_Weekend_PrePM,7.940207e-05
soc_phuket,6.388775e-05
month_sin,6.091272e-05
is_monsoon,4.976826e-05
tt_ratio_Weekend_Early,1.9677454e-05
is_high_season,0.0
spd_Weekend_Midday,0.0
wx_temp_c_mean,0.0
wx_wind_kmh,0.0
wx_rain_mm_sum_l2,0.0
wx_rain_mm_sum_l3,0.0
soc_phuket_l1,0.0
soc_phuket_l3,0.0
cal_n_holidays_l1,0.0
year,0.0
cal_high_impact,0.0
spd_Weekday_LateNight,0.0
corr_length_km,0.0
tt_ratio_Weekend_Afternoon,0.0
spd_Weekend_PM1,0.0
spd_Weekend_PM2,0.0
spd_Weekend_PrePM,0.0
spd_Weekend_LateNight,0.0
spd_Weekend_Evening,0.0
tt_ratio_Weekday_Evening,0.0
tt_ratio_Weekday_Morning,0.0
tt_ratio_Weekday_Night,0.0
tt_ratio_Weekday_PM2,0.0
spd_Weekend_Afternoon,0.0
spd_Weekend_AM1,0.0
pti_Weekend_PM2,0.0
tt_ratio_Weekend_Morning,0.0
spd_Weekday_PM2,0.0
spd_Weekday_PM1,0.0
pti_Weekday_Afternoon,0.0
pti_Weekday_Midday,0.0
pti_Weekday_PM1,0.0
spd_Weekday_Morning,0.0
pti_Weekend_AM1,0.0
pti_Weekend_Morning,0.0
pti_Weekend_PM1,0.0
month,0.0
